"site","record_type","year","month","day","running_day_of_project","julian_day","pH_air_eqll","anc_ueq_L","spec_conductance_us_cm","apparent_color_pcu","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","Cl_ueq_L","NO3_ueq_L","SO4_ueq_L","Si_mg_L","NH4_ueq_L","Al_ppb","volume_mL","vol_converted_to_depth_mm","belfort_gage_depth_mm","comment","campbell_depth_in","total_P_ppb","total_N_ppm"
"AEREA","REG",1989,5,9,1225,129,4.44,-44.1,23.5,7,2.5,6.6,0,25.2,30,14.5,47,,11.1,0.15,4416.3,65.05,62.992,,,,
"AERSU","REG",1989,5,9,1225,129,4.47,-39.2,21,7,2,4.9,0,17.8,21,11.7,40,,11.1,0.19,4098.8,60.37,60.198,,,,
"AERCA","REG",1989,5,16,1232,136,5.11,-8,7.4,3,2,3.3,0,15.7,17,3.5,12,,3.9,0.07,11140,164.09,81.61,,,,
"AEREA","REG",1989,5,16,1232,136,5.12,-6.1,6.7,4,1.5,3.3,0,15.2,17,3.7,11,,4.4,0.07,9683,142.63,68.91,,,,
"AERSU","REG",1989,5,16,1232,136,5.13,-6.1,6.6,3,1,2.5,0,14.4,11,3.4,10,,3.9,0.07,10484,154.43,67.64,,,,
"AERCA","REG",1989,5,23,1239,143,3.96,,,,8.5,4.1,3.1,5.2,13,59.1,105,,30.5,0.85,136.1,2,3.302,,,,
"AEREA","REG",1989,5,23,1239,143,3.86,,62.6,,7,4.9,4.1,4.8,15,63,107,,32.1,0.78,128.6,1.89,3.048,,,,
"AERSU","REG",1989,5,23,1239,143,3.88,-140.8,59.9,,5.5,2.5,1.3,3,6,56.1,100,,30.5,0.59,170,2.5,2.286,,,,
"AERCA","REG",1989,5,30,1246,150,4.47,-36.3,21,11,6,3.3,1,5.2,14,19,37,,11.6,0.41,2121.3,31.25,32.512,,,,
"AEREA","REG",1989,5,30,1246,150,4.46,-37.6,19.3,9,2,0.8,0,2.2,4,18,37,,12.2,0.15,2058.2,30.32,31.496,,,,
"AERSU","REG",1989,5,30,1246,150,4.54,-30.2,16.4,7,2.5,0.8,0,1.7,4,16,31,,11.1,0.15,1838.6,27.08,27.432,,,,
"AERCA","REG",1989,6,6,1253,157,4.19,-73.6,33.4,7,3.5,0.8,0,0.9,14,29.5,58,,8.9,0.41,1448.9,21.34,22.352,,,,
"AEREA","REG",1989,6,6,1253,157,4.2,-70.6,31.5,5,2.5,0,0,0.9,4,27.7,53,,6.1,0.22,1425.2,20.99,20.828,,,,
"AERSU","REG",1989,6,6,1253,157,4.24,-65,29.2,6,2,0,0,0,4,24.8,49,,6.1,0.26,1357.7,20,22.352,,,,
"AERCA","REG",1989,6,13,1260,164,5.01,-9.3,6.2,2,0.5,0,0,0.9,2,4.4,7,,2.2,0.04,3762.3,55.42,58.928,,,,
"AEREA","REG",1989,6,13,1260,164,5.04,-8.5,6.4,3,0.5,0,0,1.3,4,4.8,7,,2.8,0.07,3743.1,55.13,57.15,,,,
"AERSU","REG",1989,6,13,1260,164,5.03,-8.4,6.9,2,0.5,0,0,0.9,4,4.2,8,,1.7,0.04,3403.1,50.13,50.8,,,,
"AERCA","REG",1989,6,20,1267,171,4.64,-27.3,12.6,6,1,0.8,0.3,3,3,9.5,24,,6.6,0.04,1025.4,15.1,,,,,
"AEREA","REG",1989,6,20,1267,171,4.63,-29.6,14.7,7,1,0.8,0.5,2.6,3,10.9,26,,6.1,0.07,2087.5,30.75,32.004,,,,
"AERSU","REG",1989,6,20,1267,171,4.64,-26.8,12.1,7,0.5,0.8,0,2.2,3,9.1,23,,5.5,0.11,1725.7,25.42,26.924,,,,
"AERCA","REG",1989,7,4,1281,185,4.13,-89,,,9,2.5,2.6,0,9,37.5,80,,22.7,1.04,192.7,2.84,2.794,,,,
"AEREA","REG",1989,7,4,1281,185,4.13,-88.3,,,9.5,2.5,2,0,9,38.9,78,,25.5,1.07,182.5,2.69,3.048,,,,
"AERSU","REG",1989,7,4,1281,185,4.2,,,,7.5,2.5,2,0,9,32.6,70,,21.1,0.78,136.6,2.01,2.286,,,,
"AERCA","REG",1989,7,11,1288,192,4.25,-73.2,34,7,1.5,0,1.3,0,6,24.2,60,,21.6,0.11,1396.1,20.56,19.558,,,,
"AEREA","REG",1989,7,11,1288,192,4.17,-90.6,41.4,7,2,3.3,1.8,1.7,10,29,73,,32.7,0.15,1281.8,18.88,19.304,,,,
"AERSU","REG",1989,7,11,1288,192,4.25,-69.7,32.4,6,1,0,0.8,0,5,22.2,56,,24.9,0.11,1275.9,18.79,18.542,,,,
"AERCA","REG",1989,7,18,1295,199,4.76,-20.3,10.7,10,2,0,0,0,3,7,6,,3.3,0.3,236,3.48,2.794,,,,
"AEREA","REG",1989,7,18,1295,199,4.89,-12.6,8.4,10,2.5,0,0,0,5,6.6,5,,1.1,0.15,223.4,3.29,4.318,,,,
"AERSU","REG",1989,7,18,1295,199,4.88,,7.9,10,3,0,0.8,0.9,10,6,6,,3.9,0.22,131.2,1.93,3.81,,,,
"AERCA","REG",1989,8,1,1309,213,4.54,-35.1,17.5,8,2.5,0.8,0.3,0,3,12.5,33,,1.7,0.26,1680.1,24.75,26.67,,,,
"AEREA","REG",1989,8,1,1309,213,4.47,-40.1,20.2,10,3.5,1.6,0,0,6,14.1,40,,0,0.26,1371.4,20.2,19.304,,,,
"AERSU","REG",1989,8,1,1309,213,4.54,-34.2,16.9,10,3,0.8,0,0,5,11.8,31,,2.2,0.22,1510.7,22.25,23.114,,,,
"AERCA","REG",1989,8,8,1316,220,3.82,-182.7,80.7,16,7.5,4.1,0.8,3,8,71.9,160,,39.9,0.56,1572.1,23.16,24.638,,,,
"AEREA","REG",1989,8,8,1316,220,3.79,-198.6,86.3,23,7,4.1,0.3,3,8,75.3,174,,43.2,0.7,1585.6,23.36,17.526,,,,
"AERSU","REG",1989,8,8,1316,220,3.81,-186.3,81.5,15,7.5,3.3,0,3,7,75.6,165,,44.3,0.56,1504.9,22.17,22.606,,,,
"AERCA","REG",1989,8,15,1323,227,4.75,-19.4,10.9,7,1,1.6,0.5,9.6,10,8.6,17,,1.1,0.11,2638.1,38.86,38.354,,,,
"AEREA","REG",1989,8,15,1323,227,4.8,-17.8,10.1,5,1,1.6,0.3,9.1,10,7.9,15,,0.6,0.11,3055.3,45,43.18,,,,
"AERSU","REG",1989,8,15,1323,227,4.76,-18.7,10.7,4,1,1.6,0,10,10,8.3,16,,1.7,0.15,2539.7,37.41,36.576,,,,
"AERCA","REG",1989,8,22,1330,234,4.25,-66.7,30.2,7,0,0.8,0.5,0,3,17.2,59,,11.1,0.3,708,10.43,10.414,,,,
"AEREA","REG",1989,8,22,1330,234,4.25,-67.7,30.8,5,1.5,0.8,0.5,1.3,4,18.5,62,,11.6,0.26,668.7,9.85,10.414,,,,
"AERSU","REG",1989,8,22,1330,234,4.25,-66.7,30.6,6,1,1.6,0.3,0.4,6,16.9,57,,10.5,0.33,620.9,9.15,7.874,,,,
"AERCA","REG",1989,9,5,1344,248,4.74,-20.1,17.3,19,22.5,14,9.2,10.4,12,23.2,44,,0,0.15,1655.6,24.39,23.876,,,,
"AEREA","REG",1989,9,5,1344,248,4.26,-54.3,26.5,5,0.5,2.5,0.5,9.6,9,24.1,45,,7.8,0.19,1795.3,26.44,9.906,,,,
"AERSU","REG",1989,9,5,1344,248,4.33,-49.8,24.3,5,0.5,1.6,0.5,7.8,8,20.4,42,,7.2,0.26,1192,17.56,20.828,,,,
"AERCA","REG",1989,9,19,1358,262,4.3,-58.4,26,5,2,0.8,0,0,3,17.6,46,,7.2,0.15,2509.3,36.96,,,,,
"AEREA","REG",1989,9,19,1358,262,4.36,-50.2,22.5,5,1.5,0,0,0.4,2,15.5,40,,6.6,0.07,2419,35.63,38.1,,,,
"AERSU","REG",1989,9,19,1358,262,4.34,-51.5,22.9,5,1,0.8,0,0,2,15.6,39,,6.6,0.04,2407,35.45,35.052,,,,
"AERCA","REG",1989,9,26,1365,269,4.6,-26,14,6,2,2.5,0.8,10,10,12.1,21,,7.8,0,2340.8,34.48,34.798,,,,
"AEREA","REG",1989,9,26,1365,269,4.56,-26.9,14.5,3,1.5,0,0,10.4,12,13,21,,9.4,0,2208.6,32.53,32.258,,,,
"AERSU","REG",1989,9,26,1365,269,4.59,-25.7,13.5,5,0,1.6,0,7.8,10,10.6,20,,10,0,1875.5,27.63,29.718,,,,
"AERCA","REG",1989,10,3,1372,276,5.22,-4.9,6.1,4,2,4.1,0.5,10.9,16,4.4,7,,6.1,0.07,1469.2,21.64,22.86,,,,
"AEREA","REG",1989,10,3,1372,276,5.16,-5.5,5.9,3,2,3.3,0.3,12.2,15,4,7,,7.2,0,1674.2,24.66,27.432,,,,
"AERSU","REG",1989,10,3,1372,276,5.28,-2.9,4.3,2,0.5,4.1,0,7,8,2.3,5,,6.1,0,1304.6,19.22,20.066,,,,
"AERCA","REG",1989,10,10,1379,283,4.39,,,,7.5,3.3,1.5,6.1,15,23.6,37,,15,0.26,101.4,1.49,5.08,,,,
"AEREA","REG",1989,10,10,1379,283,,-26.9,,,5,2.5,0.3,6.5,11,21,35,,12.2,0.07,148.8,2.19,,,,,
"AERSU","REG",1989,10,10,1379,283,,-25.7,,,10.5,6.6,1.3,9.1,41,18,31,,14.4,0.07,55.8,0.82,2.54,,,,
"AERCA","REG",1989,10,17,1386,290,4.39,-41.8,21.3,5,3,2.5,0,7.8,11,17.4,35,,8.9,0.04,1516.4,22.34,,,,,
"AEREA","REG",1989,10,17,1386,290,4.41,-41.7,21,5,3.5,2.5,0.8,7.8,12,18.1,37,,8.9,0.07,1437.5,21.17,,,,,
"AERSU","REG",1989,10,17,1386,290,4.42,-41.7,20,5,3,1.6,1,8.3,10,15.7,34,,7.8,0.11,1389.5,20.47,,,,,
"AERCA","REG",1989,10,24,1393,297,5.33,-4.2,4.7,3,2,2.5,0.3,10.4,15,2.2,6,,1.1,0.04,3586.2,52.82,57.912,,,,
"AEREA","REG",1989,10,24,1393,297,5.34,-5.6,4.8,2,1.5,1.6,0,9.6,15,2.5,6,,0,0,3443,50.71,54.61,,,,
"AERSU","REG",1989,10,24,1393,297,5.21,-3.9,4.6,4,2,1.6,0,8.3,13,1.6,7,,0.6,0,3299.5,48.6,50.8,,,,
"AERCA","REG",1989,11,7,1407,311,4.89,-14.2,8.1,6,0.5,1.6,0,3.9,5,3.9,18,,0,0.07,3929,57.87,57.15,,,,
"AEREA","REG",1989,11,7,1407,311,4.85,-15,8.4,5,0.5,0.8,0,4.4,6,4.2,17,,0,0.04,3847.8,56.68,58.42,,,,
"AERSU","REG",1989,11,7,1407,311,4.85,-14.9,8.1,5,0,1.6,0,3.5,4,3.7,15,,0,0.04,3414.5,50.29,55.118,,,,
"AERCA","REG",1989,11,14,1414,318,4.46,-35.2,18.2,5,4,3.3,0.8,12.6,14,23.9,26,,10,0.11,2523.6,37.17,41.91,,,,
"AEREA","REG",1989,11,14,1414,318,4.49,-32.7,19.1,6,3.5,3.3,0.3,12.6,15,23.5,26,,9.4,0.07,2379.3,35.05,35.56,,,,
"AERSU","REG",1989,11,14,1414,318,4.5,-32.7,16.2,5,2,1.6,0,7.4,11,19,21,,6.6,0.07,2040.1,30.05,30.48,,,,
"AEREA","REG",1989,11,22,1422,326,4.6,-25.8,21.1,4,3.5,12.3,1.5,53.1,64,12.6,26,,5,0.04,3949.9,58.18,50.8,,,,
"AERCA","REG",1989,11,29,1429,333,4.55,-32.4,18.9,4,3.5,7.4,0.8,31.3,41,14.6,23,,5.5,0.26,4552.8,67.06,,,,,
"AEREA","REG",1989,11,29,1429,333,4.34,-51,24.1,5,5.5,2.5,0.3,8.7,13,32.6,33,,15,0.15,814.3,11.99,,,,,
"AERSU","REG",1989,11,29,1429,333,4.54,-31.6,20.4,4,3,9.9,0.3,40.5,50,15.3,25,,8.9,0.07,2376.3,35,,,,,
"AERCA","REG",1989,12,6,1436,340,4.71,-24.4,10.4,5,1.5,0.8,0.5,3.5,6,15.3,6,,2.2,0.04,1121.8,16.52,,,,,
"AEREA","REG",1989,12,6,1436,340,4.63,-28.9,11.9,5,1.5,0.8,1,4.8,7,19.5,7,,1.7,0.07,650.1,9.58,,,,,
"AERSU","REG",1989,12,6,1436,340,4.43,-44.8,,,4,1.6,1.8,5.2,9,36.6,8,,3.9,0.3,219.9,3.24,,,,,
"AEREA","REG",1989,12,12,1442,346,4.27,-57.1,27.6,5,1.5,0.8,0,2.6,8,36,26,,13.3,0.11,577.6,8.51,,,,,
"AERCA","REG",1989,12,19,1449,353,4.53,-34.2,16.9,10,2,4.1,0.5,17,21,20.4,18,,8.9,0.07,1549.8,22.83,,,,,
"AEREA","REG",1989,12,19,1449,353,4.77,-19.9,13.3,5,2.5,7.4,0.5,29.1,38,11,9,,2.2,0.07,483.7,7.12,,,,,
"AERSU","REG",1989,12,19,1449,353,4.34,-48.3,23.5,25,6.5,3.3,0.8,12.2,15,31.4,28,,6.6,0.19,520,7.66,,,,,
"AERCA","REG",1990,1,2,1463,2,4.42,-40.9,19.3,2,2,2.5,0.3,10.4,15,19.7,23,,5,0.04,1341.7,19.76,18.796,,,,
"AEREA","REG",1990,1,2,1463,2,4.45,-38.4,17.1,2,1,1.6,0,6.5,10,18.3,19,,4.4,,616.9,9.09,3.048,,,,
"AERSU","REG",1990,1,2,1463,2,4.59,-28.5,12.1,2,0.5,0.8,0.5,2.6,4,10,16,,2.8,0,841.1,12.39,2.032,,,,
"AERCA","REG",1990,1,9,1470,9,,,30.8,9,12,8.2,2,19.1,26,33.1,42,,18.3,0.44,188.6,2.78,3.556,,,,
"AEREA","REG",1990,1,9,1470,9,,,29.7,10,8.5,4.1,2,17,23,29.7,38,,14.4,0.3,207.1,3.05,2.794,,,,
"AERSU","REG",1990,1,9,1470,9,,,29.7,,6.5,4.9,2.3,18.7,26,29.8,38,,12.7,0.3,137.9,2.03,0.254,,,,
"AERCA","REG",1990,1,16,1477,16,4.14,-76,35.8,7,3,3.3,0.3,13.5,22,43.3,45,,11.6,0.15,1074.1,15.82,15.748,,,,
"AEREA","REG",1990,1,16,1477,16,4.13,-76.7,36.5,5,3,4.1,0.5,15.7,25,44.5,47,,12.2,0.3,948.9,13.98,8.636,,,,
"AERSU","REG",1990,1,16,1477,16,4.17,-70,32.3,7,3,3.3,0.3,9.6,19,33.5,45,,10.5,0.33,543.3,8,4.064,,,,
"AERCA","REG",1990,1,23,1484,23,4.15,-65.2,30.2,5,3,1.6,0.3,6.1,7,40.5,34,,10.5,0.15,1478.1,21.77,20.828,,,,
"AEREA","REG",1990,1,23,1484,23,4.15,-80.8,37.5,3,3.5,1.6,0.3,7.4,8,52.2,42,,13.9,0.26,1177.2,17.34,17.272,,,,
"AERCA","REG",1990,1,31,1492,31,4.71,-20.8,10.2,3,1.5,0.8,1.8,6.5,9,8.8,15,,3.3,0.04,3880.9,57.16,70.866,,,,
"AEREA","REG",1990,1,31,1492,31,4.59,-25.1,12.9,3,1.5,1.6,0.8,8.7,11,10,19,,3.3,0,2798.2,41.22,45.466,,,,
"AERSU","REG",1990,1,31,1492,31,4.83,-13.9,6.9,2,1,0.8,0,3.5,4,6.1,9,,0.6,0,2732.2,40.24,49.022,,,,
"AERCA","REG",1990,2,6,1498,37,4.74,-17.1,8.1,2,1.5,0,0.5,2.2,3,12.8,5,,1.1,0.07,524.1,7.72,6.604,,,,
"AEREA","REG",1990,2,6,1498,37,4.75,-16.9,8.3,4,2.5,0.8,0.5,1.7,4,12.6,5,,1.1,0.04,554.9,8.17,9.652,,,,
"AERSU","REG",1990,2,6,1498,37,4.69,-18.8,9.4,2,2.5,0,0,0.9,3,13.1,6,,1.7,0.04,285.1,4.2,4.318,,,,
"AERCA","REG",1990,2,13,1505,44,4.16,-79.8,31.5,4,2,0.8,0.5,3,5,37.7,50,,21.1,0.19,889.9,13.11,13.716,,,,
"AEREA","REG",1990,2,13,1505,44,4.14,-79,31.9,4,2,1.6,0.8,3.9,6,37.7,51,,18.8,0.19,875.3,12.89,11.43,,,,
"AERCA","REG",1990,2,20,1512,51,4.65,-24.6,12.3,4,2.5,0,0,1.7,4,13.9,13,,2.2,0.11,1003,14.77,5.08,,,,
"AEREA","REG",1990,2,20,1512,51,4.65,-26.7,12.5,2,2.5,0.8,0,2.2,5,13.6,14,,2.2,0.07,922.2,13.58,11.938,,,,
"AERSU","REG",1990,2,20,1512,51,4.74,-24.8,11.7,3,2,0.8,0,2.2,4,13.1,13,,5.5,0.07,906,13.35,10.668,,,,
"AERCA","REG",1990,2,27,1519,58,4.32,-51.4,26.3,10,11.5,8.2,2,21.3,28,39.5,37,,10,0.19,519.8,7.66,6.096,,,,
"AEREA","REG",1990,2,27,1519,58,4.33,-63,31.1,2,4.5,4.1,1.8,20.4,25,39.4,35,,5.5,0.26,573.4,8.45,10.668,,,,
"AERSU","REG",1990,2,27,1519,58,4.47,-41.2,22.3,10,4.5,3.3,0.8,15.7,21,28,28,,8.3,0.33,316.9,4.67,4.318,,,,
"AERCA","REG",1990,3,13,1533,72,4.42,-38.6,16.3,,5.5,0.8,0,0,10,12.1,32,,12.2,0.19,174.1,2.56,0,,,,
"AEREA","REG",1990,3,13,1533,72,4.4,-39.9,16.7,,5.5,1.6,0.5,5.7,11,15.5,33,,9.4,0.15,171.3,2.52,0,,,,
"AERSU","REG",1990,3,13,1533,72,4.42,-37.4,16.4,,6.5,0.8,0,1.3,11,13.3,32,,11.1,0.19,178.1,2.62,0,,,,
"AERCA","REG",1990,3,20,1540,79,4.08,-86.4,40.9,8,4,1.6,0.8,10.4,7,38.6,70,,28.3,0.33,1617.1,23.82,22.352,,,,
"AEREA","REG",1990,3,20,1540,79,4.06,-87.1,42.1,10,4,2.5,10.2,12.2,14,38.3,70,,29.4,0.15,1564.9,23.05,19.304,,,,
"AERSU","REG",1990,3,20,1540,79,3.9,-132.7,61.8,10,10,3.3,2.8,18.7,13,59.7,107,,45.4,0.19,640.9,9.44,12.446,,,,
"AERCA","REG",1990,3,27,1547,86,4.47,-38.9,19.4,11,2,2.5,0,7,11,16.8,32,,8.9,0.07,1981,29.18,27.94,,,,
"AEREA","REG",1990,3,27,1547,86,4.45,-39.8,19.8,3,1.5,2.5,0.3,6.5,12,16.6,31,,8.9,0.07,1858.4,27.37,23.114,,,,
"AERSU","REG",1990,3,27,1547,86,4.47,-37,18.4,2,0.5,1.6,0,6.5,10,14.7,31,,8.9,0.15,2239.8,32.99,33.528,,,,
"AERCA","REG",1990,4,3,1554,93,5.21,-3.7,4.5,4,0,1.6,0,3.9,6,1.9,5,,1.1,0,1110,16.35,21.082,,,,
"AEREA","REG",1990,4,3,1554,93,5.09,-7.3,5.8,3,0,1.6,0,3,11,1.6,4,,1.1,0,877,12.92,11.938,,,,
"AERSU","REG",1990,4,3,1554,93,5.12,-4.8,4.8,3,0.5,1.6,0,3,9,1.5,5,,1.7,0.04,877,12.92,10.16,,,,
"AERCA","REG",1990,4,10,1561,100,4.8,-17.2,8.5,4,3.5,0.8,0,3,9,10.8,11,,5,0.11,1075.3,15.84,17.272,,,,
"AEREA","REG",1990,4,10,1561,100,4.75,-18.2,9.4,5,3.5,0,0,1.7,6,10.7,14,,4.4,0.19,905.5,13.34,12.954,,,,
"AERSU","REG",1990,4,10,1561,100,4.84,-15.4,8.4,4,2,0,1.3,8.7,14,6.3,10,,2.8,0.11,861.1,12.68,10.16,,,,
"AERCA","REG",1990,4,17,1568,107,4.38,-45.3,22.1,5,2.5,1.6,0,7.8,12,16.7,36,,8.3,0.07,5068.6,74.66,78.486,,,,
"AEREA","REG",1990,4,17,1568,107,4.38,-46,23.6,5,2.5,2.5,0,8.7,14,17,38,,8.9,0.19,5160.8,76.02,75.438,,,,
"AERSU","REG",1990,4,17,1568,107,4.33,-51.8,,,3.5,2.5,0,8.3,,,,,9.4,0.22,4137.5,60.94,61.468,,,,
"AERCA","REG",1990,4,24,1575,114,4.06,-89.3,41.9,5,3,2.5,0.8,10.4,12,41.1,66,,20.5,0.22,1167.2,17.19,8.89,,,,
"AEREA","REG",1990,4,24,1575,114,4.03,-95.7,45,5,2,2.5,0,10,12,45.3,71,,23.3,0.22,1163.6,17.14,16.51,,,,
"AERCA","REG",1990,5,8,1589,128,4.64,-24.1,12.4,5,2.5,1.6,0,4.4,6,5,29,,10,0.22,812.6,11.97,11.684,,,,
"AEREA","REG",1990,5,8,1589,128,4.64,-24.3,11.6,6,2.5,0.8,0,4.8,3,5.4,28,,9.4,0.22,765,11.27,8.636,,,,
"AERSU","REG",1990,5,8,1589,128,4.66,-22.9,12.3,5,2.5,0.8,0,5.2,5,3.7,29,,10.5,0.22,607,8.94,6.858,,,,
"AERCA","REG",1990,5,15,1596,135,4.85,-12.2,10.3,3,1,1.6,0,7.8,12,4.9,17,,3.3,0.07,5472.1,80.6,82.55,,,,
"AEREA","REG",1990,5,15,1596,135,4.75,-15.7,9.9,3,0.5,1.6,0.5,8.3,11,4,18,,2.8,0.04,5444.9,80.2,78.74,,,,
"AERSU","REG",1990,5,15,1596,135,4.82,-12.5,9.2,3,0.5,1.6,0.3,7,12,5.2,16,,2.2,0.04,4731.2,69.69,66.294,,,,
"AERCA","REG",1990,5,22,1603,142,4.43,-41.6,19.2,4,1.5,0.8,0.3,1.7,5,19.3,25,,3.9,0.15,2539.8,37.41,40.894,,,,
"AEREA","REG",1990,5,22,1603,142,4.41,-42.2,20,9,0.5,0,0.3,1.7,3,20.3,26,,3.9,0.11,2275.5,33.52,24.384,,,,
"AERSU","REG",1990,5,22,1603,142,4.43,-39.2,18.6,5,0,0.8,0,1.3,3,18.5,24,,3.9,0.11,2337.4,34.43,25.654,,,,
"AEREA","REG",1990,5,29,1610,149,4.71,-20.7,10.5,6,1.5,0.8,1.5,1.7,3,6.5,18,,1.7,0.3,636.8,9.38,11.176,,,,
"AERSU","REG",1990,5,29,1610,149,4.73,-19.9,9.5,6,0.5,0,0.5,1.3,3,6.1,15,,2.2,0.07,633,9.32,13.716,,,,
"AERCA","REG",1990,6,5,1617,156,5.08,-6.8,5.5,19,2,0.8,0.8,2.2,2,2.8,10,,2.2,0,4366,64.31,63.5,,,,
"AEREA","REG",1990,6,5,1617,156,5.12,-6.3,6.1,5,1.5,0.8,0,1.7,,3.2,10,,2.8,0,4121.5,60.71,58.166,,,,
"AERSU","REG",1990,6,5,1617,156,5.11,-7.3,5.4,7,1.5,0.8,0,1.3,2,3.2,8,,0.6,0,4265.9,62.84,62.484,,,,
"AERCA","REG",1990,6,12,1624,163,4.14,-83.3,38.7,11,4,2.5,0.3,3.9,5,35.6,69,,18.3,0.41,811,11.95,11.43,,,,
"AEREA","REG",1990,6,12,1624,163,4.13,-87.8,39.4,11,4,2.5,0,2.6,6,35.6,68,,17.7,0.48,768.8,11.32,11.43,,,,
"AERSU","REG",1990,6,12,1624,163,4.14,-80.4,36.8,9,4,2.5,0,3,7,32.4,63,,17.2,0.41,772,11.37,10.668,,,,
"AERCA","REG",1990,6,19,1631,170,,,,,,,,,25,74.5,160,,20.5,,23.4,0.34,0,,,,
"AEREA","REG",1990,6,19,1631,170,,,,,,,,,18,59.2,137,,19.9,,39.6,0.58,0,,,,
"AERSU","REG",1990,6,19,1631,170,,,,,,,,,130,56.2,106,,20.5,,18.1,0.27,0,,,,
"AERCA","REG",1990,6,26,1638,177,4.25,-71,30.3,9,1.5,0.8,1.5,3,7,27.5,52,,16.1,0.41,1690.7,24.9,24.13,,,,
"AEREA","REG",1990,6,26,1638,177,4.19,-71,32.5,9,0.5,0.8,1.5,0.9,6,31.1,56,,17.7,0.15,2038.9,30.03,18.542,,,,
"AERSU","REG",1990,6,26,1638,177,4.24,-61.6,28.7,9,1,0.8,0.3,0.9,6,25.7,49,,14.4,0.22,1412.3,20.8,17.272,,,,
"AERCA","REG",1990,7,3,1645,184,4.41,-43.7,19.9,4,2.5,0,0.8,0.9,3,13.8,35,,6.1,0.15,1872,27.57,25.4,,,,
"AEREA","REG",1990,7,3,1645,184,4.36,-47,21.3,4,3,0.8,0,0.9,3,14.7,37,,5.5,0.33,1739,25.61,20.32,,,,
"AERSU","REG",1990,7,3,1645,184,4.4,-43.5,19.8,6,2.5,0,0.3,0.9,3,14.2,34,,5,0.19,1820,26.81,20.066,,,,
"AERCA","REG",1990,7,10,1652,191,4.31,-54.5,26.6,9,9,3.3,1.8,3,10,23.7,47,,6.6,0.33,436.4,6.43,3.048,,,,
"AEREA","REG",1990,7,10,1652,191,4.21,-66.5,33.1,3,7.5,4.9,0.3,3.5,21,25.5,53,,7.8,1.3,439,6.47,4.064,,,,
"AERSU","REG",1990,7,10,1652,191,4.35,-49.6,24.4,4,5.5,0.8,1.5,8.3,12,20.3,39,,4.4,0.22,310.2,4.57,1.524,,,,
"AERCA","REG",1990,7,17,1659,198,,,,,,,,,46,26,65,,16.1,,29.9,0.44,0,,,,
"AERSU","REG",1990,7,17,1659,198,,,,,,,,,14,22.7,46,,12.7,,35,0.52,0,,,,
"AERCA","REG",1990,7,24,1666,205,4.33,-53.6,24.2,6,3,0,0,0,4,20.1,43,,8.9,0.26,1185.3,17.46,17.272,,,,
"AEREA","REG",1990,7,24,1666,205,4.27,-63.8,27.7,4,4,1.6,0,0,10,22.6,48,,10,0.7,1203.6,17.73,11.684,,,,
"AERSU","REG",1990,7,24,1666,205,4.4,-43.8,20.3,5,2,0,0,0,3,16,35,,6.1,0.22,974.1,14.35,9.652,,,,
"AERCA","REG",1990,7,31,1673,212,4.61,-26.4,12.9,2,1.5,0.8,0,0,4,14.3,18,,1.7,0.15,1209.6,17.82,20.066,,,,
"AEREA","REG",1990,7,31,1673,212,4.6,-27.2,13.1,2,1.5,1.6,0.3,0.4,7,12.2,17,,1.1,0.63,1288.6,18.98,21.082,,,,
"AERSU","REG",1990,7,31,1673,212,4.58,-24.4,12.5,3,1,0,0,0.4,4,12.2,17,,1.7,0.19,1093.2,16.1,12.192,,,,
"AERCA","REG",1990,8,7,1680,219,4.86,-14.9,7.5,3,1.5,0,0,2.2,5,5.4,11,,0,0.15,941.6,13.87,15.24,,,,
"AEREA","REG",1990,8,7,1680,219,5.02,-9.2,6.2,2,1.5,0,0,1.3,4,5.3,9,,0,0.11,986.3,14.53,11.43,,,,
"AERSU","REG",1990,8,7,1680,219,4.93,-12.7,6.8,4,1,0,0,0.9,4,5.2,9,,0,0.07,934.5,13.76,5.588,,,,
"AERCA","REG",1990,8,14,1687,226,5.15,-7.5,5.4,2,1,1.6,0,2.2,5,4.3,6,,0,0.07,5020.9,73.96,77.47,,,,
"AEREA","REG",1990,8,14,1687,226,5.04,-8.8,5.9,2,1,1.6,0,3.9,6,4.4,7,,0,0.04,5350.9,78.82,77.47,,,,
"AERSU","REG",1990,8,14,1687,226,5.17,-6.4,4.9,2,1,1.6,0,4.4,5,3.9,5,,0,0.04,4840.5,71.3,62.738,,,,
"AERCA","REG",1990,8,21,1694,233,4.06,-95.1,44.1,7,3,0,0,0,3,19.4,100,,19.4,0.15,718.8,10.59,10.922,,,,
"AEREA","REG",1990,8,21,1694,233,4.06,-93.3,43.5,4,2.5,0.8,0,0.4,2,18.6,96,,18.8,0.22,581.9,8.57,4.572,,,,
"AERSU","REG",1990,8,21,1694,233,4.05,-95.4,44.5,5,2,0.8,0,0.4,3,17.9,98,,19.4,0.19,695.2,10.24,10.414,,,,
"AERCA","REG",1990,8,28,1701,240,,,12.3,4,3,0.8,1,0.4,3,17.1,10,,5,0.15,131.6,1.94,0.508,,,,
"AEREA","REG",1990,8,28,1701,240,,,10.9,3,1,0,0.5,0,3,15.8,7,,2.8,0.07,118.3,1.74,0,,,,
