"year","month","H2O_mm","H_eq_ha","Ca_eq_ha","Mg_eq_ha","K_eq_ha","Na_eq_ha","Cl_eq_ha","NO3_eq_ha","NH4_eq_ha","SO4_eq_ha"
2004,3,46.5,24.8,5.9,1.4,0.6,5,4.9,19.3,,21.2
2004,4,90.6,13.5,4,2.7,1.2,11.8,11.1,3.8,0,15.1
2004,5,97.5,13.9,3.4,0.6,0.4,1.5,1.5,7.7,0.8,11.3
2004,6,68.5,17.4,2.4,0.4,0.6,2.1,2.1,8.6,0,16.9
2004,7,158,43.3,3.1,0.8,0.8,2.6,3.3,20.8,15.2,40.3
2004,8,151,22.7,2.7,1.5,0.9,8,8,9.8,10.5,24.5
2004,9,58.9,5.4,1,1,0.2,5.1,5.3,3,0.5,3.7
2004,10,76.8,15.6,1.9,2.4,3.7,6.9,7.4,7.3,3.4,13.6
2004,11,47.2,12.4,1.8,1,0.3,3.6,3.6,9.3,3,8.8
2004,12,120,10.2,3.5,9.2,1.5,34.2,38.6,5.6,2.4,10.4
2005,1,87.3,16.3,3.4,5.4,1.4,26.3,28.5,14.1,7.8,18.7
2005,2,80.6,12.8,1.6,1.6,0.3,7.3,7.7,6.2,3.2,11.4
2005,3,116,6.5,1.3,1,0.6,7.3,7.2,3.9,5,7.2
2005,4,281,34.2,6.3,11.1,1.9,52.7,58.8,17,19.2,35.4
2005,5,280,31.6,3.4,1.3,1.4,9.4,9.8,12.5,14.8,29.9
2005,6,77.9,30,2.5,0.6,0.4,1.4,1.9,14.7,13.3,32.6
2005,7,26.9,4.8,0.4,0.2,0.4,1.4,1.3,2.3,0.4,4
2005,8,57.2,7,0.7,1,0.3,6.1,5.8,3.9,1.8,5.6
2005,9,105,36.4,2.1,1.4,0.5,7.7,7.3,18.3,12.9,34.1
2005,10,322,7.1,4.1,3.2,9.3,28,24.7,4.2,9.1,6.8
2005,11,254,34.3,6.3,8.2,2.9,39.6,40.6,20.1,18.9,37.8
2005,12,142,17.1,3.1,10.5,1.4,52.4,56.6,12.8,4.2,14.3
2006,1,203,22.4,5.1,10.3,2,51.1,53.8,16.5,8.1,19.7
2006,2,84.8,10.6,1.7,1.5,0.6,10.2,10.7,4.9,3,8.6
