"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"EB8","EB","10","ISCO",1996,12,7,16,"WINTER",342.7,3994.67,106,103,"",37,22,"",7.4,6,84,17,"",2.3,"<DL",1.4,,"492","","","",,78,93,85,"<DL",0.05,"",1.6,"",,-8.2,21.4,3.51,14.5,,,4.84,,"","<RL",1,"",,"",,""
"WB3","WB","10","ISCO",1996,12,7,16,"WINTER",342.7,3994.67,60,57,"",21,5,"",4.6,3,76,4,"",1.8,"<DL",1.4,,"151","","","",,84,188,179,"",31.5,"",1.3,"",,0.7,37.2,3.142,6.61,,,5.18,,"","<RL",3,"",,"",,""
"EB8","EB","12","ISCO",1996,12,8,12,"WINTER",343.5,3995.5,97,94,"",33,20,"",7.9,7,75,16,"",1.8,"<DL",1.4,,"616","","","",,68,82,75,"<RL",0.3,"",1.6,"",,-13.5,18.9,43.031,16.2,,,4.79,,"","",7,"",,"",,""
"WB3","WB","12","ISCO",1996,12,8,12,"WINTER",343.5,3995.5,53,50,"",20,5,"",4.6,3,69,5,"",1.5,"<DL",1.4,,"136","","","",,74,180,172,"",30.5,"",1.7,"",,-0.4,35.8,33.406,6.46,,,5.19,,"","<RL",4,"",,"",,""
"WB3","WB","14","ISCO",1996,12,8,16,"WINTER",343.7,3995.67,52,49,"",19,4,"",4.9,3,69,3,"",1.5,"<DL",1.4,,"211","","","",,77,198,190,"",36.5,"",1.5,"",,-1.9,38.6,30.292,8.91,,,5.05,,"","",9,"",,"",,""
"WB3","WB","17","ISCO",1996,12,8,22,"WINTER",343.9,3995.92,52,49,"",19,3,"",4.6,3,68,0,"",1.5,"<DL",1.4,,"213","","","",,80,201,193,"",38.4,"",1.6,"",,-1.5,40,21.855,9.77,,,5.01,,"","<RL",5,"",,"",,""
"WB3","WB","S","DUP",1996,12,10,11,"WINTER",345.5,3997.46,101,98,"",34,18,"",6.6,5,84,16,"",2.1,"<DL",1.4,,"676","","","",0.53,80,191,183,"",33.3,"",1.3,"",0.9,-9.9,38.5,5.605,12.9,2.39,4.88,4.89,,"","<RL",1,"",,"",3,""
"WB3","WB","S","REG",1996,12,10,11,"WINTER",345.5,3997.46,102,99,"",34,18,"",6.9,5,84,15,"",2.1,"<DL",1.4,,"676","","","",0.52,81,191,183,"",33.5,"",1.4,"",0.9,-10.1,38.4,5.605,13.5,2.42,4.9,4.87,,"","<RL",1,"",,"",2.7,""
"EB8","EB","S","REG",1996,12,10,12,"WINTER",345.5,3997.5,56,54,"",20,6,"",4.1,3,75,14,"",1.7,"<DL",1.4,,"217","","","<RL",0.06,71,90,83,"<DL",0.05,"",2.1,"",0.8,0.1,20.5,6.625,4.68,5.64,5.31,5.33,,"","<RL",2,"",,"",2.7,""
"EB8","EB","S","REP",1996,12,10,12,"WINTER",345.5,3997.5,55,53,"",19,5,"",4.1,3,76,15,"",1.7,"<DL",1.4,,"220","","","<RL",0.07,71,89,82,"<DL",0.05,"",2,"",0.9,1.2,20.5,6.625,4.68,,,5.33,,"5.24","<RL",2,"",,"",,""
