site,watershed,ISCO_number,record_type,year,month,day,hour,season,julian_day,running_day_of_project,Ca_ueq_L,nmCa_ueq_L,Mg_flag,Mg_ueq_L,nmMg_ueq_L,K_flag,K_ueq_L,nmK_ueq_L,Na_ueq_L,nmNa_ueq_L,Si_flag,Si_mg_L,NH4_flag,NH4_ueq_L,Al_flag,Al_ppb,Al_org_flag,Al_org_ppb,total_N_flag,total_N_ppm,Cl_ueq_L,SO4_ueq_L,nmSO4_ueq_L,NO3_flag,NO3_ueq_L,DOC_flag,DOC_mg_L,DIC_flag,DIC_mg_L,ANC_ueq_L,sp_conductance_us_cm,discharge_L_sec,H_ueq_L,HCO3_ueq_L,pH_closed_cell,pH_air_eqll,pH_initial,pH_uneqll,apparent_color_flag,apparent_color_PCU,true_color_flag,true_color_PCU,total_P_flag,total_P_ppb,Comment
WB3,WB,,REG,1987,3,29,10,SPRING,88.42,453.42,96,94,,33,19,,6.6,5.0,78,19,,1.7,<DL,1.40,,90,,49,,,69,100,93,,21.2,,1.2,<RL,0.1,13.4,23.7,,0.95,1.65,5.76,6.02,,,<RL,1,,7,,,
EB3,EB,,REG,1987,4,1,13,SPRING,91.54,456.54,78,75,,29,12,,8.2,7.0,73,1,,1.1,<DL,1.40,,313,,92,,,84,81,72,,25.9,,2.4,,,-3.1,27.2,,8.51,,5.08,5.07,,,,8,<RL,5,,,
WB3,WB,,REG,1987,4,1,14,SPRING,91.58,456.58,92,88,,35,17,,11.8,10.0,80,4,,1.4,<DL,1.40,,309,,100,,,89,97,88,,28.0,,2.1,,,4.0,29.4,,7.41,,5.19,5.13,,,<RL,4,<RL,2,,,
EB3,EB,,REG,1987,4,2,13,SPRING,92.54,457.54,79,76,,30,13,,7.7,6.0,75,1,,1.2,<DL,1.40,,278,,90,,,86,84,75,,23.6,,2.1,,,2.6,26.3,,6.31,,5.14,5.20,,,,6,<RL,5,,,
WB3,WB,,REG,1987,4,2,13,SPRING,92.54,457.54,93,90,,34,16,,10.5,9.0,81,2,,1.5,<DL,1.40,,241,,73,,,92,98,88,,26.5,,1.7,,,0.1,29.0,,5.89,,5.25,5.23,,,<RL,5,<RL,3,,,
EB3,EB,,REG,1987,4,3,11,SPRING,93.46,458.46,83,80,,29,13,,6.6,5.0,75,4,,1.8,<DL,1.40,,243,,121,,,83,87,78,,20.7,,1.8,,,1.7,27.0,,5.37,,5.28,5.27,,,<RL,5,<RL,4,,,
WB3,WB,,REG,1987,4,3,11,SPRING,93.46,458.46,92,88,,35,17,,10.2,9.0,82,6,,1.6,<DL,1.40,,195,,133,,,89,98,89,,22.9,,1.5,,,2.0,29.2,,4.07,,5.42,5.39,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,4,5,16,SPRING,95.67,460.67,87,84,,32,17,,8.2,7.0,77,8,,1.4,<DL,1.40,,241,,118,,,80,97,89,,21.0,,1.6,,,4.2,27.0,,4.17,,5.43,5.38,,,<RL,3,<RL,3,,,
EB3,EB,,REG,1987,4,5,17,SPRING,95.71,460.71,73,71,,27,13,,5.9,5.0,71,8,,1.2,<DL,1.40,,214,,115,,,73,85,77,,15.7,,1.9,,,4.4,24.5,,5.01,,5.34,5.30,,,,6,,6,,,
EB3,EB,,REG,1987,4,6,15,SPRING,96.60,461.60,75,73,,25,10,,5.4,4.0,68,5,,1.1,<DL,1.40,,283,,166,,,73,87,79,,15.1,,2.1,,,-1.3,19.9,,7.59,,5.21,5.12,,,,6,,6,,,
